name,b1fps_int8_22WW51.1,b1fps_cldnn_int8_22WW51.1,b32fps_int8_22WW51.1,b32fps_cldnn_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b32fps_fp16_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b1fps_fp32_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b32fps_fp32_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_cldnn_int8_23WW01.4,b32fps_int8_23WW01.4,b32fps_cldnn_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b32fps_fp16_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b1fps_fp32_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b32fps_fp32_23WW01.4,b32fps_cldnn_fp32_23WW01.4
DLRM,,,,,2106.53,1736.96,-1.0,-1.0,1996.76,1674.33,-1.0,-1.0,,,,,2166.92,1736.96,-1.0,-1.0,2009.49,1674.33,-1.0,-1.0
DeeperCut,,,,,66.84,42.69,147.12,-1.0,24.13,23.95,25.51,25.5,,,,,68.38,42.69,148.1,-1.0,26.05,23.95,28.17,25.5
aclnet,3354.01,2986.74,17862.8,9612.05,3072.43,2545.16,13075.72,5171.56,2243.69,1876.68,4479.79,4626.04,3405.17,2986.74,17919.62,9612.05,3097.24,2545.16,12742.6,5171.56,2111.85,1876.68,4560.35,4626.04
anti-spoof-mn3,2561.26,944.94,24481.26,16332.02,,,,,,,,,2517.98,944.94,24612.34,16332.02,,,,,,,,
asl-recognition-0003,406.09,258.74,366.24,321.93,,,,,,,,,408.65,258.74,366.75,321.93,,,,,,,,
asl-recognition-0004,396.32,267.73,367.07,297.13,,,,,,,,,390.15,267.73,361.82,297.13,,,,,,,,
bert-base-ner,292.83,298.04,687.72,868.44,182.91,205.27,1130.0,692.11,127.71,146.19,398.95,337.9,293.28,298.04,688.94,868.44,183.46,205.27,1133.91,692.11,126.35,146.19,393.37,337.9
bert-base-uncased-cola,,,,,182.98,201.86,1134.88,631.69,127.25,138.82,408.79,336.72,,,,,183.0,201.86,1139.25,631.69,125.72,138.82,396.46,336.72
bert-small-uncased-whole-word-masking-squad-0002,307.88,256.1,520.84,633.02,228.88,223.35,617.92,499.0,173.08,163.72,302.75,301.29,307.32,256.1,519.51,633.02,228.18,223.35,618.16,499.0,189.28,163.72,308.28,301.29
bert_emd_4layer,,,,,749.17,749.92,1631.69,1589.84,609.28,567.14,1503.49,1472.76,,,,,748.77,749.92,1639.05,1589.84,615.93,567.14,1477.67,1472.76
cgan_mnist,,,,,3365.02,3411.86,-1.0,-1.0,,,,,,,,,3354.07,3411.86,-1.0,-1.0,,,,
colorization-siggraph,482.56,197.74,850.29,229.77,285.38,112.62,452.29,32.4,,,,,491.27,197.74,847.11,229.77,287.92,112.62,450.88,32.4,,,,
common-sign-language-0002,661.47,419.02,910.22,585.45,681.59,314.63,885.79,238.04,,,,,657.03,419.02,909.86,585.45,682.72,314.63,895.79,238.04,,,,
cpm-pose,,,,,152.89,114.36,487.43,46.19,61.85,61.45,66.17,68.47,,,,,153.74,114.36,478.2,46.19,62.28,61.45,72.91,68.47
crnn-tf,,,,,200.26,162.39,3261.97,2206.02,,,,,,,,,195.83,162.39,3171.13,2206.02,,,,
ctpn,105.95,85.78,199.39,109.51,82.08,48.95,159.31,68.42,34.95,34.04,-1.0,-1.0,106.13,85.78,243.1,109.51,82.6,48.95,159.03,68.42,35.06,34.04,-1.0,-1.0
deeplabv3-mobilenetv3,256.26,226.94,338.46,251.1,233.78,198.04,314.12,133.98,156.79,148.84,179.26,178.42,255.97,226.94,338.0,251.1,232.8,198.04,311.78,133.98,156.64,148.84,179.9,178.42
deeplabv3-onnx,,,,,216.09,129.28,484.39,68.29,,,,,,,,,227.55,129.28,486.61,68.29,,,,
denoise,294.67,250.18,403.11,213.73,298.11,194.71,437.69,-1.0,,,,,290.64,250.18,400.31,213.73,299.22,194.71,436.13,-1.0,,,,
densenet-161,380.9,413.61,1641.46,1567.05,290.75,180.49,867.44,405.03,132.6,123.72,482.07,473.36,395.73,413.61,1643.71,1567.05,304.92,180.49,869.99,405.03,134.32,123.72,491.43,473.36
densenet-169,623.24,523.26,3489.15,2560.12,509.1,246.3,1201.29,655.14,189.65,178.54,931.76,891.42,628.85,523.26,3468.82,2560.12,522.32,246.3,1197.8,655.14,189.55,178.54,944.94,891.42
dla-102,1126.65,620.96,4526.51,2162.9,808.74,355.24,2771.76,928.73,248.35,233.31,559.46,557.17,1119.14,620.96,4545.08,2162.9,832.15,355.24,2807.5,928.73,248.38,233.31,595.3,557.17
dla-46xc,2627.88,2367.36,4332.7,7794.66,2307.27,1778.99,5485.82,2344.6,,,,,2654.57,2367.36,4186.11,7794.66,2350.59,1778.99,5437.83,2344.6,,,,
dna_r9.4.1@v3,,,,,4.48,4.16,-1.0,-1.0,2.89,2.84,-1.0,-1.0,,,,,4.49,4.16,-1.0,-1.0,2.9,2.84,-1.0,-1.0
driver-action-recognition-adas-0002-decoder,1376.81,1082.74,-1.0,-1.0,1721.54,1602.3,-1.0,-1.0,847.74,1077.85,-1.0,-1.0,1426.52,1082.74,-1.0,-1.0,1817.79,1602.3,-1.0,-1.0,892.73,1077.85,-1.0,-1.0
east_resnet_v1_50,153.78,90.19,-1.0,-1.0,98.08,42.95,-1.0,-1.0,20.8,20.66,-1.0,-1.0,154.66,90.19,-1.0,-1.0,99.1,42.95,-1.0,-1.0,20.86,20.66,-1.0,-1.0
efficientnet-b0,1289.58,1180.93,5031.77,3853.12,1386.45,816.93,4722.61,4035.4,748.85,605.68,2876.15,2776.83,1236.87,1180.93,5186.93,3853.12,1446.37,816.93,4853.0,4035.4,751.51,605.68,2871.72,2776.83
efficientnet-b7_auto_aug,89.69,78.32,134.17,75.93,98.3,51.04,132.66,-1.0,35.08,33.19,-1.0,-1.0,88.88,78.32,135.24,75.93,98.56,51.04,133.19,-1.0,35.08,33.19,-1.0,-1.0
f3net,727.5,501.35,2323.62,1023.2,502.05,304.11,1454.21,451.44,200.74,190.75,315.13,296.89,761.37,501.35,2277.03,1023.2,530.99,304.11,1458.22,451.44,200.69,190.75,328.33,296.89
face-detection-0205,,,,,489.34,333.27,2134.89,1511.28,428.23,358.66,1210.7,1156.11,,,,,498.83,333.27,2137.5,1511.28,422.85,358.66,1267.3,1156.11
faceboxes,1174.4,1301.37,815.29,1328.77,966.56,910.21,852.54,942.14,604.4,698.96,946.09,981.05,1184.76,1301.37,849.05,1328.77,892.02,910.21,854.59,942.14,594.85,698.96,939.3,981.05
facial-landmarks-35-adas-0002,1126.03,1156.52,25355.44,26818.49,1108.53,1072.61,27183.93,21690.46,684.94,1036.34,19232.41,32078.92,1089.67,1156.52,25395.21,26818.49,1045.78,1072.61,26407.49,21690.46,684.03,1036.34,19199.52,32078.92
faster_rcnn_inception_v2_coco,192.42,219.22,229.3,235.77,161.7,111.36,230.74,162.75,73.1,83.23,-1.0,-1.0,195.53,219.22,231.39,235.77,163.85,111.36,233.36,162.75,73.66,83.23,-1.0,-1.0
faster_rcnn_resnet50_coco,,,,,26.84,16.39,-1.0,-1.0,10.09,10.69,-1.0,-1.0,,,,,26.97,16.39,-1.0,-1.0,10.12,10.69,-1.0,-1.0
fastseg-large,33.36,31.56,-1.0,-1.0,33.72,20.26,-1.0,-1.0,10.82,11.07,-1.0,-1.0,33.25,31.56,-1.0,-1.0,34.14,20.26,-1.0,-1.0,10.81,11.07,-1.0,-1.0
fishnet-99,,,,,753.85,578.33,1833.13,1018.01,361.51,371.83,884.74,882.86,,,,,764.63,578.33,1838.17,1018.01,387.72,371.83,903.57,882.86
fsrcnn,1485.95,929.2,2051.1,1884.39,1587.98,745.41,1993.72,890.81,1132.14,634.79,1234.16,804.67,1508.54,929.2,2053.45,1884.39,1610.54,745.41,1991.38,890.81,1138.43,634.79,1239.78,804.67
googlenet-v1,,,,,1246.93,792.92,5772.15,3655.3,477.81,806.63,2076.5,2164.88,,,,,1232.27,792.92,5778.01,3655.3,478.85,806.63,2023.94,2164.88
googlenet-v3,841.59,995.79,4252.35,2217.1,647.76,519.28,2749.71,1103.15,250.97,369.9,707.79,657.01,886.94,995.79,4341.85,2217.1,680.2,519.28,2829.7,1103.15,251.41,369.9,754.85,657.01
handwritten-simplified-chinese-recognition-0001,385.52,187.11,-1.0,-1.0,246.82,128.98,-1.0,-1.0,,,,,389.16,187.11,-1.0,-1.0,246.24,128.98,-1.0,-1.0,,,,
horizontal-text-detection-0001,,,,,309.71,275.01,831.13,612.32,254.4,208.23,418.57,408.86,,,,,314.55,275.01,831.06,612.32,260.83,208.23,420.95,408.86
i3d-flow,93.1,40.21,143.72,-1.0,68.89,30.6,109.17,-1.0,13.13,12.77,-1.0,-1.0,93.09,40.21,142.72,-1.0,69.15,30.6,108.28,-1.0,13.46,12.77,-1.0,-1.0
icv-lprnet-with-detection-head,,,,,2148.63,1367.73,-1.0,-1.0,,,,,,,,,2144.91,1367.73,-1.0,-1.0,,,,
icv-reid-embedding,,,,,3858.34,4228.8,39118.86,21585.82,,,,,,,,,3949.02,4228.8,38217.9,21585.82,,,,
icv-squeezenet-pd,,,,,1443.8,1261.98,1816.27,1572.79,885.04,943.93,1278.82,1269.15,,,,,1470.42,1261.98,2085.65,1572.79,944.97,943.93,1377.15,1269.15
icvface-0034,,,,,1122.91,581.07,2170.98,1955.88,,,,,,,,,1131.43,581.07,2139.25,1955.88,,,,
image-retrieval-0001,2510.91,2390.67,14461.04,11938.69,2701.89,1811.23,9583.27,7280.58,,,,,2539.78,2390.67,14908.63,11938.69,2715.12,1811.23,10021.32,7280.58,,,,
imagesr-giga,175.74,149.26,254.81,159.21,128.32,90.64,-1.0,-1.0,,,,,176.07,149.26,253.98,159.21,128.74,90.64,191.74,-1.0,,,,
imagesr-giga-detail,175.92,148.06,254.25,162.51,128.6,89.65,-1.0,-1.0,,,,,175.73,148.06,253.91,162.51,128.91,89.65,193.37,-1.0,,,,
inceptionv3-int8-onnx-0001,,,,,875.24,1024.61,4602.17,2433.07,882.56,1024.18,4939.08,2393.12,,,,,913.63,1024.61,4617.7,2433.07,911.94,1024.18,5032.01,2393.12
inceptionv3_ssd,,,,,304.27,246.09,903.96,367.7,126.61,153.6,235.52,216.91,,,,,310.69,246.09,907.34,367.7,128.39,153.6,250.05,216.91
instance-segmentation-security-1039,,,,,150.76,68.39,-1.0,-1.0,,,,,,,,,150.65,68.39,-1.0,-1.0,,,,
kuaishou-blocky,849.88,667.89,1864.98,724.36,528.74,363.38,1217.21,409.23,184.64,177.91,207.98,201.68,782.58,667.89,1865.02,724.36,535.98,363.38,1215.87,409.23,198.71,177.91,222.6,201.68
kuaishou-blur,653.93,558.58,1771.76,862.85,386.32,327.19,1107.02,391.34,180.78,199.79,254.39,259.15,669.79,558.58,1765.85,862.85,385.67,327.19,1109.96,391.34,175.61,199.79,262.09,259.15
kuaishou-defocusv4,1176.54,753.99,5887.98,1720.21,850.95,532.79,3754.7,1163.51,355.23,361.25,649.06,640.09,1234.97,753.99,5959.43,1720.21,949.68,532.79,3817.38,1163.51,336.38,361.25,696.65,640.09
kuaishou-dirtylens,8329.28,8377.36,38936.39,32204.82,10392.44,5963.67,-1.0,-1.0,9632.14,6088.78,-1.0,-1.0,8424.9,8377.36,38955.42,32204.82,10425.89,5963.67,-1.0,-1.0,9204.36,6088.78,-1.0,-1.0
kuaishou-noise,1836.54,1437.27,5558.31,2239.7,1270.77,868.21,3704.08,1243.98,535.49,514.15,617.98,605.18,1824.36,1437.27,5571.32,2239.7,1280.45,868.21,3685.84,1243.98,565.59,514.15,654.72,605.18
landmarks-regression-retail-0009,10542.98,10359.68,149119.09,186274.66,11503.21,7290.87,167387.83,107366.22,,,,,10504.33,10359.68,159583.42,186274.66,11474.42,7290.87,168397.99,107366.22,,,,
lensblur,137.37,109.55,205.56,-1.0,121.57,58.59,153.09,-1.0,,,,,137.14,109.55,208.97,-1.0,124.35,58.59,158.03,-1.0,,,,
levit-128s,770.87,703.14,4000.85,5318.67,642.13,575.4,6073.73,5748.6,627.69,566.82,5431.35,4280.62,782.81,703.14,4358.98,5318.67,642.33,575.4,6429.44,5748.6,627.93,566.82,5499.86,4280.62
license-plate-recognition-barrier-0001,2894.92,3020.05,-1.0,-1.0,2679.75,1556.18,-1.0,-1.0,,,,,2932.25,3020.05,-1.0,-1.0,2685.41,1556.18,-1.0,-1.0,,,,
lpcnet_encoder,6040.8,7134.76,16945.04,16452.33,5880.32,2996.21,18497.14,4107.5,,,,,5992.89,7134.76,16934.47,16452.33,5826.94,2996.21,18497.19,4107.5,,,,
machine-translation-nar-en-de-0001,,,,,137.26,118.15,586.85,-1.0,,,,,,,,,137.58,118.15,587.18,-1.0,,,,
machine-translation-nar-en-ru-0001,,,,,137.47,134.18,-1.0,-1.0,,,,,,,,,148.3,134.18,-1.0,-1.0,,,,
mask_rcnn_resnet101_atrous_coco,23.72,8.31,-1.0,-1.0,15.74,5.1,-1.0,-1.0,1.87,2.4,-1.0,-1.0,24.03,8.31,-1.0,-1.0,15.91,5.1,-1.0,-1.0,1.91,2.4,-1.0,-1.0
mask_rcnn_resnet50_atrous_coco,29.54,9.47,-1.0,-1.0,20.54,6.51,-1.0,-1.0,,,,,32.6,9.47,-1.0,-1.0,19.53,6.51,-1.0,-1.0,,,,
mobilenet-v1-0.25-128,5975.27,6413.58,61972.13,47118.36,6236.7,6211.91,68848.1,39871.95,,,,,5986.33,6413.58,63890.57,47118.36,6399.63,6211.91,68472.17,39871.95,,,,
mobilenet-v3-large-1.0-224,1862.88,1860.89,8468.06,5621.54,1545.0,1314.19,7892.73,3339.53,,,,,1867.82,1860.89,7957.54,5621.54,1530.44,1314.19,7901.96,3339.53,,,,
mobilenet-v3-small-1.0-224,2139.09,2429.91,14504.35,12576.07,1884.3,1661.03,14102.76,11588.52,,,,,2133.31,2429.91,14333.52,12576.07,1912.89,1661.03,14491.76,11588.52,,,,
modnet_webcam_portrait_matting,149.66,127.45,109.8,177.95,146.39,117.87,138.09,50.49,,,,,151.37,127.45,109.66,177.95,148.33,117.87,137.61,50.49,,,,
motionblur,137.2,115.46,202.52,-1.0,122.98,60.23,158.65,-1.0,,,,,137.28,115.46,209.0,-1.0,124.5,60.23,156.2,-1.0,,,,
octave-resnet-101-0.125,242.78,231.51,1732.67,1317.8,215.76,166.83,958.16,546.11,122.85,121.35,476.75,448.6,241.98,231.51,1728.32,1317.8,217.61,166.83,960.49,546.11,126.06,121.35,474.46,448.6
octave-resnet-200-0.125,123.46,117.52,863.33,690.74,108.62,93.7,474.06,279.52,,,,,113.7,117.52,863.15,690.74,109.54,93.7,470.33,279.52,,,,
octave-resnext-101-0.25,206.93,211.91,577.81,905.3,222.82,163.53,611.07,316.45,141.92,126.88,395.06,365.07,201.65,211.91,577.93,905.3,235.28,163.53,611.82,316.45,137.58,126.88,394.48,365.07
octave-resnext-50-0.25,406.11,421.63,800.15,1411.22,412.59,323.86,904.56,534.2,,,,,390.54,421.63,798.43,1411.22,439.62,323.86,904.15,534.2,,,,
open-closed-eye-0001,13240.98,15603.58,265375.32,337518.63,15114.4,15177.08,350776.98,370444.2,,,,,13152.31,15603.58,240418.23,337518.63,15071.36,15177.08,349298.64,370444.2,,,,
openpose-hand,,,,,135.24,104.48,452.82,33.68,,,,,,,,,136.21,104.48,453.14,33.68,,,,
person-detection-0102,1552.02,1194.03,2347.05,2252.49,1400.39,911.55,1647.06,1408.28,,,,,1550.78,1194.03,2350.35,2252.49,1416.86,911.55,1656.87,1408.28,,,,
person-detection-0106,,,,,19.29,13.05,-1.0,-1.0,7.84,6.86,-1.0,-1.0,,,,,19.24,13.05,-1.0,-1.0,7.8,6.86,-1.0,-1.0
person-detection-action-recognition-0006,459.41,433.56,740.19,809.52,499.99,401.04,762.96,391.4,,,,,487.36,433.56,770.55,809.52,539.76,401.04,761.34,391.4,,,,
person-reidentification-retail-0248,833.5,880.71,7876.5,7884.66,966.85,1062.85,9831.6,5674.97,,,,,741.41,880.71,7986.87,7884.66,928.73,1062.85,9996.84,5674.97,,,,
person-reidentification-retail-0277,761.74,758.59,3602.1,3019.4,809.71,862.48,3587.17,2768.2,,,,,706.06,758.59,3665.65,3019.4,835.98,862.48,3632.62,2768.2,,,,
person-reidentification-retail-0287,764.78,771.43,5858.6,5198.29,897.73,919.45,5928.09,4817.98,874.24,952.45,4043.84,4085.77,694.34,771.43,6083.67,5198.29,870.29,919.45,6337.01,4817.98,872.1,952.45,4050.71,4085.77
person-vehicle-bike-detection-crossroad-yolov3-1020,514.77,280.48,968.24,472.49,288.71,204.46,744.02,262.87,,,,,529.02,280.48,971.92,472.49,294.8,204.46,742.24,262.87,,,,
places205-googlenet,,,,,1302.15,714.2,5206.99,3653.83,487.2,784.31,1986.5,2077.71,,,,,1307.21,714.2,5248.76,3653.83,488.09,784.31,1952.04,2077.71
pose-ae-multiperson-pytorch,,,,,90.45,28.66,140.06,-1.0,,,,,,,,,90.65,28.66,139.48,-1.0,,,,
