name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1
DLRM,,2106.53,1996.76,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,2166.92,2009.49,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,2154.57,2022.54,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,2585.55,2662.25,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0
DeeperCut,,66.84,24.13,,128.85,26.92,,147.12,25.51,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,68.38,26.05,,128.81,26.46,,148.1,28.17,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,68.42,26.08,,127.95,27.13,,147.24,28.21,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,68.47,26.09,,130.41,27.73,,150.04,28.02,,42.69,23.95,,-1.0,26.64,,-1.0,25.5
aclnet,3354.01,3072.43,2243.69,,,,17862.8,13075.72,4479.79,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3405.17,3097.24,2111.85,,,,17919.62,12742.6,4560.35,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3380.37,3071.72,2120.42,,,,18130.98,12653.49,4567.36,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3399.41,3084.75,2108.17,,,,18097.06,12436.93,4581.2,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04
anti-spoof-mn3,2561.26,,,,,,24481.26,,,944.94,,,,,,16332.02,,,2517.98,,,,,,24612.34,,,944.94,,,,,,16332.02,,,2554.61,,,,,,27895.71,,,944.94,,,,,,16332.02,,,2033.93,,,,,,31256.19,,,944.94,,,,,,16332.02,,
asl-recognition-0003,406.09,,,,,,366.24,,,258.74,,,,,,321.93,,,408.65,,,,,,366.75,,,258.74,,,,,,321.93,,,401.49,,,,,,362.63,,,258.74,,,,,,321.93,,,404.1,,,,,,385.71,,,258.74,,,,,,321.93,,
asl-recognition-0004,396.32,,,,,,367.07,,,267.73,,,,,,297.13,,,390.15,,,,,,361.82,,,267.73,,,,,,297.13,,,375.59,,,,,,359.39,,,267.73,,,,,,297.13,,,394.82,,,,,,382.46,,,267.73,,,,,,297.13,,
bert-base-ner,292.83,182.91,127.71,,,,687.72,1130.0,398.95,298.04,205.27,146.19,,,,868.44,692.11,337.9,293.28,183.46,126.35,,,,688.94,1133.91,393.37,298.04,205.27,146.19,,,,868.44,692.11,337.9,292.9,167.91,126.64,,,,1062.98,1229.34,495.74,298.04,205.27,146.19,,,,868.44,692.11,337.9,463.27,429.99,225.05,,,,1352.17,1211.96,488.87,298.04,205.27,146.19,,,,868.44,692.11,337.9
bert-base-uncased-cola,,182.98,127.25,,638.1,329.71,,1134.88,408.79,,201.86,138.82,,642.66,332.01,,631.69,336.72,,183.0,125.72,,647.6,343.02,,1139.25,396.46,,201.86,138.82,,642.66,332.01,,631.69,336.72,,168.28,132.72,,618.13,342.8,,1237.95,492.24,,201.86,138.82,,642.66,332.01,,631.69,336.72,,424.77,225.73,,1196.14,500.95,,1220.07,485.13,,201.86,138.82,,642.66,332.01,,631.69,336.72
bert-small-uncased-whole-word-masking-squad-0002,307.88,228.88,173.08,,,,520.84,617.92,302.75,256.1,223.35,163.72,,,,633.02,499.0,301.29,307.32,228.18,189.28,,,,519.51,618.16,308.28,256.1,223.35,163.72,,,,633.02,499.0,301.29,279.38,213.08,173.91,,,,723.48,693.08,351.7,256.1,223.35,163.72,,,,633.02,499.0,301.29,433.84,403.65,283.13,,,,769.16,725.53,345.85,256.1,223.35,163.72,,,,633.02,499.0,301.29
bert_emd_4layer,,749.17,609.28,,,,,1631.69,1503.49,,749.92,567.14,,,,,1589.84,1472.76,,748.77,615.93,,,,,1639.05,1477.67,,749.92,567.14,,,,,1589.84,1472.76,,667.38,611.48,,,,,1658.42,1480.94,,749.92,567.14,,,,,1589.84,1472.76,,1047.91,804.68,,,,,1680.93,1487.22,,749.92,567.14,,,,,1589.84,1472.76
cgan_mnist,,3365.02,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3354.07,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3369.75,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3059.03,,,,,,-1.0,,,3411.86,,,,,,-1.0,
colorization-siggraph,482.56,285.38,,,,,850.29,452.29,,197.74,112.62,,,,,229.77,32.4,,491.27,287.92,,,,,847.11,450.88,,197.74,112.62,,,,,229.77,32.4,,518.73,296.8,,,,,849.66,427.73,,197.74,112.62,,,,,229.77,32.4,,517.86,297.49,,,,,841.79,426.78,,197.74,112.62,,,,,229.77,32.4,
common-sign-language-0002,661.47,681.59,,,,,910.22,885.79,,419.02,314.63,,,,,585.45,238.04,,657.03,682.72,,,,,909.86,895.79,,419.02,314.63,,,,,585.45,238.04,,641.61,668.29,,,,,899.93,895.24,,419.02,314.63,,,,,585.45,238.04,,658.57,672.46,,,,,996.2,902.69,,419.02,314.63,,,,,585.45,238.04,
cpm-pose,,152.89,61.85,,,,,487.43,66.17,,114.36,61.45,,,,,46.19,68.47,,153.74,62.28,,,,,478.2,72.91,,114.36,61.45,,,,,46.19,68.47,,150.15,66.05,,,,,489.29,73.07,,114.36,61.45,,,,,46.19,68.47,,151.11,65.37,,,,,494.93,72.89,,114.36,61.45,,,,,46.19,68.47
