Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);78.455226;
reshape model time (ms);3.528702;
compile model time (ms);432.205218;
first inference time (ms);202.941861;
total execution time (ms);7969.069757;
total number of iterations;100;
Median latency (ms);60.330053;
Percentile boundary;50;
Average latency (ms);79.512457;
Min latency (ms);27.461108;
Max latency (ms);299.716702;
throughput;12.548516;

