Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);210.673296;
reshape model time (ms);10.879881;
compile model time (ms);873.167686;
first inference time (ms);639.726141;
total execution time (ms);23697.278944;
total number of iterations;100;
Median latency (ms);179.907044;
Percentile boundary;50;
Average latency (ms);236.495222;
Min latency (ms);80.579630;
Max latency (ms);894.733213;
throughput;4.219894;

