Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;1;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;1;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);51.634360;
reshape model time (ms);6.119786;
compile model time (ms);2951.257542;
first inference time (ms);1708.361449;
total execution time (ms);33.006842;
total number of iterations;1;
Median latency (ms);32.953522;
Percentile boundary;50;
Average latency (ms);32.953522;
Min latency (ms);32.953522;
Max latency (ms);32.953522;
throughput;30.296749;

