Command line parameters;
cache_dir;./_cache;
d;GPU;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;1;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;1;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);60.070658;
reshape model time (ms);0.009528;
compile model time (ms);2761.575371;
first inference time (ms);44.397244;
total execution time (ms);38.198955;
total number of iterations;1;
Median latency (ms);38.196371;
Percentile boundary;50;
Average latency (ms);38.196371;
Min latency (ms);38.196371;
Max latency (ms);38.196371;
throughput;26.178727;

