Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);241.496963;
reshape model time (ms);19.606896;
compile model time (ms);4577.693203;
first inference time (ms);1836.332901;
total execution time (ms);2171952.269755;
total number of iterations;10833;
Median latency (ms);168.995265;
Percentile boundary;50;
Average latency (ms);200.202798;
Min latency (ms);64.918330;
Max latency (ms);1203.158778;
throughput;4.987679;

