Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);51.753367;
reshape model time (ms);6.174240;
compile model time (ms);535.727687;
first inference time (ms);130.270085;
total execution time (ms);3341.023723;
total number of iterations;100;
Median latency (ms);32.526001;
Percentile boundary;50;
Average latency (ms);33.146582;
Min latency (ms);18.591779;
Max latency (ms);89.910043;
throughput;29.930946;

