Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.731234;
reshape model time (ms);5.832315;
compile model time (ms);769.895267;
first inference time (ms);648.804615;
total execution time (ms);320301.803337;
total number of iterations;10833;
Median latency (ms);25.953317;
Percentile boundary;50;
Average latency (ms);29.322936;
Min latency (ms);9.980502;
Max latency (ms);106.330733;
throughput;33.821227;

