Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.981949;
reshape model time (ms);5.529114;
compile model time (ms);246.402587;
first inference time (ms);81.147228;
total execution time (ms);2310.913522;
total number of iterations;100;
Median latency (ms);23.621056;
Percentile boundary;50;
Average latency (ms);22.810581;
Min latency (ms);14.186895;
Max latency (ms);40.187739;
throughput;43.272930;

