Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);25.797042;
reshape model time (ms);9.850432;
compile model time (ms);1382.214682;
first inference time (ms);1105.623281;
total execution time (ms);1580803.730343;
total number of iterations;10833;
Median latency (ms);132.142368;
Percentile boundary;50;
Average latency (ms);145.840243;
Min latency (ms);42.910059;
Max latency (ms);485.444048;
throughput;6.852843;

